date,counts
2019-10-06,<1
2019-10-13,<1
2019-10-20,<1
2019-10-27,<1
2019-11-03,<1
2019-11-10,<1
2019-11-17,<1
2019-11-24,<1
2019-12-01,<1
2019-12-08,<1
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
2020-01-05,<1
2020-01-12,<1
2020-01-19,3
2020-01-26,6
2020-02-02,4
2020-02-09,3
2020-02-16,3
2020-02-23,5
2020-03-01,6
2020-03-08,10
2020-03-15,17
2020-03-22,14
2020-03-29,10
2020-04-05,9
2020-04-12,8
2020-04-19,8
2020-04-26,8
2020-05-03,8
2020-05-10,7
2020-05-17,8
2020-05-24,6
2020-05-31,5
2020-06-07,6
2020-06-14,6
2020-06-21,7
2020-06-28,7
2020-07-05,7
2020-07-12,12
2020-07-19,10
2020-07-26,9
2020-08-02,8
2020-08-09,13
2020-08-16,8
2020-08-23,6
2020-08-30,7
2020-09-06,7
2020-09-13,6
2020-09-20,6
2020-09-27,6
2020-10-04,5
2020-10-11,6
2020-10-18,6
2020-10-25,6
2020-11-01,6
2020-11-08,14
2020-11-15,10
2020-11-22,10
2020-11-29,13
2020-12-06,20
2020-12-13,24
2020-12-20,22
2020-12-27,30
2021-01-03,35
2021-01-10,50
2021-01-17,48
2021-01-24,43
2021-01-31,46
2021-02-07,47
2021-02-14,45
2021-02-21,50
2021-02-28,65
2021-03-07,72
2021-03-14,65
2021-03-21,66
2021-03-28,70
2021-04-04,68
2021-04-11,64
2021-04-18,59
2021-04-25,77
2021-05-02,70
2021-05-09,75
2021-05-16,75
2021-05-23,70
2021-05-30,79
2021-06-06,66
2021-06-13,63
2021-06-20,82
2021-06-27,62
2021-07-04,63
2021-07-11,67
2021-07-18,69
2021-07-25,75
2021-08-01,90
2021-08-08,69
2021-08-15,71
2021-08-22,67
2021-08-29,69
2021-09-05,51
2021-09-12,50
2021-09-19,45
2021-09-26,40
2021-10-03,38
2021-10-10,40
2021-10-17,38
2021-10-24,33
2021-10-31,33
2021-11-07,36
2021-11-14,35
2021-11-21,36
2021-11-28,40
2021-12-05,39
2021-12-12,60
2021-12-19,36
2021-12-26,32
2022-01-02,42
2022-01-09,39
2022-01-16,100
2022-01-23,25
2022-01-30,22
2022-02-06,20
2022-02-13,19
2022-02-20,15
2022-02-27,13
2022-03-06,13
2022-03-13,12
2022-03-20,12
2022-03-27,11
2022-04-03,11
2022-04-10,10
2022-04-17,11
2022-04-24,10
2022-05-01,8
2022-05-08,8
2022-05-15,9
2022-05-22,8
2022-05-29,7
2022-06-05,7
2022-06-12,8
2022-06-19,9
2022-06-26,9
2022-07-03,9
2022-07-10,10
2022-07-17,9
2022-07-24,8
2022-07-31,8
2022-08-07,7
2022-08-14,7
2022-08-21,6
2022-08-28,6
2022-09-04,6
2022-09-11,7
2022-09-18,7
2022-09-25,7
